word,cnt
aparezca,3714
aparición,2720
aparta,3523
apartar,1235
apartaron,109
aparte,15004
apartó,528
apasionados,402
apenas,37000
apergaminada,2
aperitivo,1549
apestado,121
apilaron,14
aplastaba,69
aplastados,511
aplaudieron,201
aplaudía,83
aplauso,4440
aplausos,1661
aplica,1893
aplicaciones,736
aplicada,503
apocalipsis,2401
apoderado,697
apoderarse,2051
aporta,581
aportado,294
apoyaba,533
apoyada,382
apoyadas,77
apoyado,1623
apoyados,179
apoyar,3819
apoyo,20823
apoyó,931
apraxias,0
aprender,32290
aprenderlos,100
aprendido,12271
aprendiéndonos,0
aprendí,10505
apresuradamente,287
apretaba,253
apretada,976
apretadamente,12
apretado,2665
apretados,1010
apretó,708
aprobado,2753
apropiada,3179
aprovechar,4010
aprovecho,625
aproximaba,164
aprueban,364
aptitud,754
apuesta,14094
apuntando,3354
apunté,641
apurada,753
apurar,582
apuraron,26
apuro,3605
apuñalado,1577
apática,84
apátridas,36
aquel,31457
aquella,24693
aquellas,4350
aquello,13076
aquellos,21515
aquí,1764186
aranceles,86
araña,7497
arbitrariamente,115
arbustos,2461
archipiélago,165
arcoíris,141
ardiendo,4394
arduo,525
ardían,147
arena,15168
arenal,32
argentina,2476
argentinas,34
argentino,521
argentinos,227
argot,224
argumentación,133
argumentar,457
argumentos,1953
argüido,0
arma,91393
armada,8877
armados,6271
armar,3334
armario,12505
armarios,1197
armas,77941
armonía,3053
armé,375
aros,1241
arqueado,28
arquitecto,3530
arranca,5218
arrancaba,239
arrancar,3651
arrancarla,236
arrancaron,716
arrancarse,244
arrancó,1906
arranquemos,123
arrasado,421
arrastraban,109
arrastran,611
arrastraron,539
arregla,4218
arreglaran,216
arreglarle,574
arreglarse,2333
arreglará,2470
arreglo,8579
arrepiente,692
arriba,120000
arrobó,0
arrodilló,258
arrogancia,2224
arrojada,409
arrojan,495
arrojar,1966
arrugas,1280
arruinamos,458
arruinara,343
arruinarles,280
arsénico,732
arte,29096
articulaciones,759
articularidad,0
artificiales,3849
artista,14460
artículos,5984
artífice,120
asado,3036
asalto,10560
asambleas,168
ascensor,9974
asciende,778
asegurar,6958
asegurarán,165
asesinar,6170
asesinato,45054
asfalto,936
asiduos,71
asiento,23538
asilados,7
asimismo,373
asintió,91
asistencia,4813
asistir,4397
asociamos,140
asoma,600
asomaba,70
asomaban,28
asomar,169
asomarme,204
asomarse,308
asombro,909
asombrosa,3155
asombrosamente,414
asomó,173
aspecto,19423
aspectos,3024
aspiraba,121
aspiro,311
asquerosa,4023
astas,189
astro,980
asumido,650
asumí,1214
asunto,64715
asuntos,26267
asustada,11863
asusté,2961
así,1030180
atacaba,383
atacó,7464
atado,4749
atadura,170
ataque,46320
atardecer,2932
atardeceres,207
atardeciendo,22
atareados,128
ataúd,5560
atención,64431
atentado,2570
atentos,2837
aterradora,1105
atmósfera,6034
atontado,577
atorrante,77
atracción,4069
atractivo,8936
atrae,4328
atrajo,1425
atrapada,4941
atrasa,194
atrasadas,224
atravesaba,352
atravesada,114
atravesado,1621
atravesar,5649
atravesábamos,36
atravesándola,40
atravesó,2377
atraviesa,2006
atraviese,570
atraído,1589
atrevido,3096
atrevo,2289
atreví,599
atrevía,565
atribuir,207
atribuirse,200
atribuye,288
atribuyeron,31
atrocidad,669
atrocidades,979
atrofian,7
atropella,451
atropelló,1653
atroz,1666
atrás,106136
atuendos,287
até,903
audacia,902
audibles,22
auge,418
augusto,1455
aullido,406
aumentan,936
aumentando,2113
aumentar,4363
aumentarla,150
aumento,6896
aun,43750
aunque,114712
aura,1121
auriculares,958
auroras,62
ausencia,5561
ausente,3075
austera,80
auto,120911
autoengaño,37
automotrices,47
automáticamente,1838
automóvil,3910
automóviles,1340
autopsia,5186
autores,1147
autoridad,12468
autoridades,8877
autorretrato,185
auténtica,4385
autónoma,219
auxiliares,870
auxilio,11063
avance,4802
avanza,3679
avanzaba,342
avanzado,3586
avanzamos,913
avanzara,73
avanzaron,180
avanzó,491
avellaneda,112
avenida,6241
avenidas,198
aventura,13665
aventurarme,106
aventuras,4199
avergonzado,5075
avergonzarse,3428
aves,5537
avestruces,243
avisar,5186
avisarme,2890
avisé,1248
avisó,2002
avivándose,2
avión,52399
axolotl,0
ay,75234
ayer,59232
ayuda,144768
ayudaba,2211
ayudado,8145
ayudar,75215
ayudara,3238
ayudarlo,25287
ayudarme,56947
ayudaron,2223
ayudaría,6172
ayudase,361
azar,5994
azorado,28
azota,325
azote,839
azotes,899
aztecas,457
azul,33671
azules,8369
azúcar,13072
aérea,7671
añadir,3991
añadió,492
añico,0
año,136594
años,448790
aún,227747
baba,2186
bacalao,894
bache,693
backstage,0
bailaba,1093
bailaban,358
bailando,8172
bailar,33699
bailarines,1511
baile,35327
baja,43028
bajaba,1045
bajado,4188
bajando,7340
bajar,25191
bajaron,1488
bajarse,1737
bajas,7976
bajo,124790
bajos,4623
bajábamos,89
bajé,2447
bajó,4721
bala,22776
balance,2387
balanceando,170
balanceo,354
balanceándose,352
balanza,1219
balbucear,221
balcón,3209
baldosas,397
balvanera,0
bambolea,46
banca,2340
banco,38752
bancos,7746
banda,27037
bandas,4601
bandeja,3514
bandejas,552
bando,3345
banquete,3739
bar,35725
baratos,2266
barba,7651
barbilla,1939
barca,2956
barcazas,156
barco,53524
barcos,9396
barda,350
bares,3433
barra,8040
barrio,16576
barrios,2144
base,38314
basta,88247
bastaba,780
bastaban,50
bastado,400
bastante,106301
basto,261
basura,43145
batalla,29481
batallas,3788
batallón,4154
bate,3999
batracios,3
batón,12
bautizar,358
bayonetas,686
bañadas,155
bañadera,150
bañado,943
bañamos,203
bañarme,2155
bañarse,2357
bañe,307
bañera,5084
bañista,59
bañistas,76
baño,57223
beagle,395
beatles,1847
beber,36517
bebidas,6606
becados,31
beethoven,3038
begonias,77
belgrano,0
bellamente,233
belleza,23036
bellezas,1250
bello,8294
bendiciones,1736
bendita,3424
bendito,4425
beneficiarios,169
bengala,1294
benjamín,1748
benny,5511
bermuda,211
berta,1325
bertita,0
besar,7065
bestial,556
bestias,3788
biblia,10193
biblioteca,11963
bicicleta,8612
bien,2271161
bienes,6500
bienintencionado,32
bienvenida,25335
bigotes,1057
bigotudo,55
bikinis,317
bilbao,51
billete,8184
biológico,2066
bisagra,158
bistró,0
bizet,0
blanca,28260
blancas,5655
blanco,54234
blancos,16268
blancura,162
blanqueó,24
blanquísimo,0
blanquísimos,0
blazer,251
blogs,324
bob,37011
boba,1649
boca,62578
bocado,2067
bocanadas,85
bocas,1719
boda,41819
bodega,4246
bofetada,1993
boina,522
bola,15192
bolita,407
bolivia,1130
bolsa,30509
bolsas,7418
bolsillo,15010
bolsillos,5683
bolsillóloga,0
bolso,13220
bolsos,1357
bomba,32553
borde,8794
bordea,96
bordeando,122
bordes,1113
bordo,19816
boreales,33
borrachera,1172
borracho,22494
borrosa,857
bosque,26694
bosquecillo,77
bosquecito,17
bosquejada,3
bosquejo,475
bosques,4722
botamangas,0
botella,21854
botellas,5827
botines,369
botiquines,49
botiquín,1343
botánico,489
botánicos,88
branquias,117
brasa,426
brasil,4423
bravata,36
brazo,31068
brazos,25876
breteles,0
breve,8310
brevedad,370
brevemente,1201
breves,906
brevísimo,39
brigada,4478
brigadier,426
brillaba,808
brillantes,5814
brillantez,350
brillo,4356
brincar,371
brisa,3327
británica,3051
británico,5941
brocha,367
broma,41586
bromas,7728
bromeaban,109
bromeo,4161
brotar,285
brotaron,79
brote,1292
brotes,621
bruner,0
bruscamente,546
brusquedad,155
brutalmente,1195
bruto,4060
buceaba,41
bucear,969
buen,250826
buena,263234
buenas,179974
bueno,924565
buenos,134106
bufones,313
bufó,6
bulevar,592
bulle,93
bullente,4
bullía,26
bulto,1395
buque,2423
buques,918
burbujas,2882
burla,2596
burlar,698
burlona,167
busca,42116
buscaba,9321
buscadas,91
buscamos,12260
buscando,85406
buscar,68767
buscara,1383
buscarla,8228
buscarlo,17598
buscarlos,4441
buscarnos,2654
buscaron,1266
buscarse,1020
buscaría,1041
buscáramos,130
buscó,2787
busto,939
básicamente,9954
básquet,541
béisbol,8188
bíblicos,240
búsqueda,17025
c,0
caballerizas,155
caballeros,63784
caballería,4005
caballo,41304
caballos,23508
cabe,4233
cabeceaban,0
cabecera,872
cabello,22264
caben,818
cabeza,177317
cabezada,126
cabezas,12099
cabildo,31
cabizbaja,11
cabo,23407
cabos,1890
cabra,6024
cabras,2226
cabría,285
cabían,80
caca,4283
cacerolas,238
cacería,4079
cacho,352
caciques,57
cada,225746
cadavérica,40
cadena,15509
cadáver,16407
cadáveres,8873
cae,17871
caen,5968
caer,24499
caerse,3462
caería,1504
cafetería,5899
café,72065
cafés,2175
cagada,1824
caja,49270
cajones,1383
cajón,5504
calamidades,222
calaveras,562
calcinado,152
calcinando,3
calcula,875
calculando,522
caldera,1498
calefacción,2442
calentar,2153
calidez,714
caliente,35246
calificado,1381
calla,10825
callaba,184
callado,6533
callados,1678
callarse,2574
callate,0
calle,75422
callecitas,0
calles,20863
callándose,24
calma,37664
calmaba,87
calmarla,668
calmo,902
calmosos,0
calor,29509
calorcito,75
calzadas,38
calzado,1049
calzoncillo,208
cama,82240
camada,408
cambia,20376
cambiaban,333
cambiado,35756
cambiamos,3603
cambiando,8258
cambiar,58509
cambiarla,2099
cambiaron,4431
cambio,70611
cambios,12375
camillas,275
camina,9918
caminaba,1833
caminamos,1789
caminando,15189
caminar,24165
caminaron,331
caminata,2516
camino,150079
caminos,7873
caminó,1045
camiones,6421
camisa,18105
camisón,1387
campanada,280
campanadas,375
campanas,3556
campante,88
campaña,13342
campeonato,5377
campera,310
campinas,0
campo,57967
campos,10542
canal,14830
canaleta,95
canasta,2480
canasto,242
cancha,2498
canciones,13178
canción,40483
candelabros,378
candidato,5828
candor,132
canela,1458
canibalismo,461
canosa,62
cansado,27043
cansancio,1511
cansaron,315
cansarse,490
canta,10411
cantaba,2517
cantaban,599
cantando,7854
cantar,21975
cantarín,85
canteros,37
cantidad,18568
cantina,1918
canto,6419
cantos,753
capa,7570
capaces,9020
capacidad,9959
capacidades,1137
capas,2375
capataz,1749
capaz,36683
capital,8302
capitán,117558
capricho,1725
caprichos,953
caprichosos,150
captaban,7
captar,1476
capturados,1411
capturar,3786
capullo,6080
capítulo,7082
capítulos,913
cara,124786
caracteres,583
característica,1070
carajo,74477
caramelo,3719
caras,12304
carbonizadas,53
carbonizado,164
carbonizados,118
carcajadas,509
carcomidos,17
carcomiendo,123
carece,1414
carente,363
carentes,72
carga,23265
cargaban,149
cargada,3852
cargamento,3937
cargaran,76
cargaron,463
cargo,36303
cargó,959
caricia,500
cariño,163261
cariñoso,1964
carlos,10209
carmen,3638
carnada,2483
carnaval,2364
carne,39834
carnívoras,141
carnívoros,305
carpa,2186
carpetas,446
carpintero,2085
carrasperas,2
carrera,43566
carreras,9166
carta,50591
cartas,32661
cartel,6172
carter,15468
cartera,9678
carteras,791
cartero,2787
cartílagos,55
cartón,1706
carácter,8566
casa,624136
casadas,1249
casado,27088
casados,11823
casamiento,2915
casar,13423
casaran,255
casarme,26459
casarse,32047
casas,22877
case,6229
casi,150378
casimiro,50
casita,2445
caso,149288
casos,18495
castas,283
castellanos,40
castiga,1063
castillito,15
castillo,16956
casualidad,11996
casó,7695
cataclismo,306
catacumbas,559
catorce,3307
catálogos,411
causa,36610
causado,7072
causando,3449
causas,3199
cautela,841
cautelosamente,150
cautividad,236
cavernosos,4
cavidad,992
cayendo,6944
cayeran,331
cayeron,4271
cayó,25477
caía,2936
caídas,804
caído,15137
cañas,399
cañonazo,105
cañón,8154
ceden,184
ceder,2238
cedido,484
cedió,637
cejas,2260
celajes,1
celebración,4389
celebrar,10258
celedonio,7
celeste,1892
celestes,192
celia,2411
celo,1236
celoso,9222
celulares,2928
cementerio,8650
cemento,2795
cementos,23
cena,49254
cenar,37688
cenicero,1323
cenicienta,2080
ceniciento,55
ceniza,1154
cenizas,6573
censura,1180
centenares,1012
central,21638
centrarlos,2
centro,48133
centuriones,332
centímetros,4306
cerca,121505
cercano,9058
cercanos,2949
cerdos,8479
cerebrales,1939
cerebro,41440
ceremonia,9602
cerezos,286
cerraba,628
cerrada,15080
cerrado,19407
cerradura,4260
cerrar,20578
cerraron,2197
cerré,1979
cerró,4335
certeza,5838
certificado,4365
cerveza,36248
cesado,444
cesar,3389
cesó,262
ceñir,45
chacarita,0
chal,790
chalecos,866
changas,12
chapoteo,125
charco,1687
charlando,1181
charlar,4009
charlas,1973
charles,24107
charlotte,8774
chejov,0
chejoviano,0
chelsea,2755
cheshire,0
chica,180957
chicas,87034
chicles,778
chico,154600
chicos,153051
chicotazo,0
chief,0
chile,2546
chimenea,4729
chinas,1193
chiquitita,208
chiquito,1601
chirriaba,29
chispa,2840
chispas,1618
chiste,11526
chistes,5098
chistoso,4506
choca,1859
chocaban,74
chocan,518
chocolate,16932
chocolates,1832
chocolatines,34
chofer,5724
chorro,909
chorros,562
christian,5763
chupada,450
chupándole,130
chupó,377
churchill,2439
ci,0
cia,12190
ciber,128
cicatrices,3547
cicatriz,4822
ciclo,3551
ciega,5558
ciegamente,638
ciegos,3180
cielo,73499
cielos,35498
cien,19821
ciencia,17253
ciento,11511
cientos,17159
científica,3941
cierra,30618
cierro,2861
cierta,15050
ciertamente,11848
ciertas,10749
cierto,200781
ciertos,7082
cifra,2522
cifras,3381
cigarras,190
cigarrillo,12462
cilindro,885
cima,8334
cinco,119210
cincuenta,8526
cine,28241
cinematográficas,94
cinta,21409
cintura,2832
cipolletti,0
circo,9042
circulaban,65
circulación,2191
circulante,30
circular,1937
circunstancias,11778
cisne,2028
citan,143
citarse,112
ciudad,141310
ciudadela,764
ciudades,8936
civil,10940
civilizadas,320
civilizado,1659
clandestina,683
clandestino,877
clara,12625
claramente,14766
claridad,3943
claro,334545
claros,2600
clarísimo,404
clase,113011
clases,21287
clasificación,921
clavados,335
clavos,2220
clavándola,18
clavó,870
clic,995
clientes,23926
clima,8848
climas,288
club,39657
clásico,5911
clásicos,1530
clínica,9906
clínicos,431
coartada,5695
cobarde,16136
cobertura,4344
cobra,4253
cobre,3004
coches,12768
cocina,34729
cocino,1388
codo,2853
cognitiva,165
cogote,222
coherencia,190
coherente,766
cohete,4844
coincidieron,165
cola,15400
colastiné,0
colcha,429
colectiva,1135
colectivo,1447
colectivos,174
colegiales,221
colegio,22014
colgaba,556
colgaban,297
colgados,1000
colgamos,452
colgando,3296
colgante,904
colgantes,203
colgarla,434
colibrí,336
colmadas,22
colmillos,1531
coloniales,312
colonos,1362
color,30781
colores,9416
coloso,390
columnas,2011
colón,1355
coma,12194
comandantes,1153
combates,1190
combatientes,1226
combatiéndolos,20
combinación,6705
combinan,659
combustible,11236
come,30966
comediantes,411
comedias,692
comedor,6106
comen,7116
comentario,5547
comentarios,6523
comentó,791
comenzaba,1270
comenzaban,232
comenzar,20212
comenzaron,4855
comenzó,19223
comer,94951
comercio,5590
comestibles,1109
cometidas,135
comida,92649
comienza,17796
comienzan,3261
comienzo,18302
comienzos,1151
comieron,2263
comimos,1723
comisarios,366
comisaría,7433
comisiones,566
comisura,48
comitiva,350
como,1772746
comodidad,1737
compacta,205
compacto,430
comparaba,108
comparaciones,230
comparación,2635
comparamos,409
compararse,820
compasión,7466
compañero,34403
compañeros,18534
compenetrados,42
competencia,9973
compleja,1465
complejas,672
complejo,6939
complejos,1113
complementada,6
completa,15252
completaba,70
completamente,46830
completara,70
completarla,158
completo,28014
complicadamente,0
complicadas,1478
complicado,15374
complicaran,18
complicidad,814
compone,593
componen,295
componentes,1545
componer,1018
comportaba,395
comportando,797
comportándose,614
composición,1971
compra,14086
compran,2536
comprar,48448
comprarte,6336
compras,15072
comprenden,1699
comprender,9364
comprendidos,38
comprendiendo,217
comprendí,2307
comprendía,730
comprensibles,78
comprensión,2815
compro,5495
comprobar,6806
compromiso,13366
comprueba,2863
compruebo,386
compré,15200
compró,12057
compuesta,760
compuse,350
computacionales,0
comunes,4145
comunicación,9182
comunicado,3258
comunicados,397
comunicarle,966
comunidad,13380
comía,2356
comían,749
común,29522
comúnmente,536
con,3249288
concentración,5144
concentrado,2310
concepto,6167
conceptos,937
conceptuales,35
conceptualmente,32
concesiones,769
concibe,121
conciencia,14064
concierto,11006
concluir,1406
conclusiones,2952
conclusión,5440
concreta,860
concretas,515
concreto,3628
concretos,344
concurrencia,211
concéntrico,3
condena,6508
condenado,9047
condenados,3403
condensa,52
condensada,187
condensan,12
condensar,24
condiciones,15352
condición,12070
conduce,9798
conducen,1277
conducido,1694
conejito,1719
conejitos,473
conejo,9093
conejos,3902
conexiones,3678
confeccionado,71
confesar,5035
confesarlo,869
confiado,3087
confiando,853
confianza,25764
confiar,32114
confirmada,1287
confirmarlas,52
confitería,165
conflicto,5573
conflictos,2003
conformaban,39
conformación,29
conformarlo,4
confundimos,134
confusa,1819
confusión,5555
congelación,498
congelado,3245
congelando,1195
congreso,7343
congénita,213
conjunto,4940
conmigo,247719
conmovedor,2132
conmovedora,995
cono,1131
conoce,56715
conocemos,18827
conocer,37603
conocerla,15708
conocernos,6555
conocidas,1454
conocido,38897
conocieron,3825
conocimiento,12534
conocimientos,3618
conociéndolo,268
conoció,8731
conocía,20781
conocían,2773
conozco,104114
conquista,2220
consciencia,1649
consciente,8914
conscientes,1616
consecuencia,2996
conseguido,17823
conseguirlo,11691
conseguía,1340
conserje,3177
conservar,4816
conservarse,226
conservará,160
considerable,1966
consideraciones,452
consideración,2893
considerar,6921
considerarse,1498
consideraré,977
consigo,15011
consiguiente,913
consiguieron,3016
consiguió,14008
consonancia,102
constancias,26
constante,5596
constantemente,6387
constelación,597
consternados,122
constitución,3306
constitutiva,9
constituyen,347
construido,5064
construir,14692
construirse,460
construiría,233
construyendo,4096
construyeran,172
consuela,862
consuelo,5614
consultar,2010
consultorio,1851
consulté,346
consultó,231
consumido,1062
consumo,2278
contaba,3720
contaban,616
contados,933
contagiosa,845
contaminado,1143
contamos,2814
contando,8664
contar,30132
contara,1526
contarle,13545
contempla,693
contemplaba,147
contemplan,131
contemplando,778
contemplándonos,8
contemplé,117
contemporánea,351
contemporáneas,59
contenerme,1008
contenerse,459
contenido,4378
contenidos,455
contentas,430
contento,21058
contentos,5496
contestados,14
contestarle,976
contestó,2522
contexto,2167
contienda,530
continente,3322
continuaba,682
continuaban,175
continuamente,2708
continuamos,2072
continuar,18210
continuaron,532
continuidad,839
continuo,2132
continué,552
continuó,1645
continúa,16952
continúan,2255
continúo,843
contornos,178
contra,153677
contrabajos,27
contracción,506
contraejemplo,0
contrapelo,19
contrapunto,124
contraria,1423
contrario,22649
contrarrestar,484
contraste,965
contratado,4659
contrató,5696
contribuyeron,134
contribuyo,95
controlamos,1032
controlarme,2329
contuve,158
contuvo,157
contárselo,8985
convencer,6813
convencerla,2673
convencida,2155
convencido,7789
convenció,2885
convengo,107
conveniencia,849
conveniente,4355
conversaba,94
conversaciones,4230
conversación,23131
convertidas,106
convertido,13792
convertimos,1172
convertirse,15989
convertía,675
convicción,1409
conviene,6250
convierta,3091
convierte,13531
convincente,3404
convirtieron,2308
convirtió,12392
convivencia,339
convocadas,23
convulsa,29
convulsiones,1253
convulsión,480
coordinada,107
coordinados,149
copa,27066
copadas,9
copas,6105
copo,559
copos,729
coquetería,65
coraje,8914
coral,1917
corazón,131616
corbata,7961
cordilleras,85
cordones,1420
cordura,1641
coro,5291
coronel,48165
coros,518
corpiño,540
corpus,628
corral,1986
corre,39585
correas,839
correctas,2443
correctos,1777
corredores,2439
corregirlo,762
correlaciones,22
correlación,270
correlativa,6
correo,17052
correr,28547
correspondiente,389
correspondía,551
correteando,399
corrido,1989
corriendo,23909
corriente,16465
corrientes,2305
corrimos,555
corrió,3568
corroída,28
corrupción,3713
corruptos,1758
corrí,2876
corría,2592
corríamos,283
corrían,726
corta,17111
cortaba,749
cortaban,334
cortado,6996
cortados,853
cortando,2996
cortar,15282
cortaron,3353
cortas,3729
corte,36252
corteza,2437
corticales,86
cortina,3117
cortinas,4866
corto,16627
